symbol,name,reportDate,fiscalDateEnding,estimate,currency
AON,Aon plc. - Class A,2021-02-05,2020-12-31,2.46,USD
AOS,A.O. Smith Corp,2021-01-28,2020-12-31,0.57,USD
APA,Apache Corp,2021-02-24,2020-12-31,-0.12,USD
APAM,Artisan Partners Asset Management Inc - Class A,2021-02-02,2020-12-31,1,USD
APD,Air Products & Chemicals Inc,2021-02-04,2020-12-31,2.18,USD
APD,Air Products & Chemicals Inc,2021-04-21,2021-03-31,,USD
APEI,American Public Education Inc,2021-03-09,2020-12-31,0.41,USD
APH,Amphenol Corp - Class A,2021-01-27,2020-12-31,1.02,USD
APH,Amphenol Corp - Class A,2021-04-20,2021-03-31,,USD
APLE,Apple Hospitality REIT Inc,2021-02-23,2020-12-31,-0.13,USD
APLS,Apellis Pharmaceuticals Inc,2021-02-25,2020-12-31,-0.81,USD
APO,Apollo Global Management Inc - Class A,2021-02-03,2020-12-31,0.49,USD
APOG,Apogee Enterprises Inc,2021-04-08,2021-02-28,0.56,USD
APPF,AppFolio Inc,2021-03-01,2020-12-31,0.08,USD
APPN,Appian Corp Class A,2021-02-18,2020-12-31,-0.17,USD
APT,Alpha Pro Tech Ltd,2021-02-24,2020-12-31,0.5,USD
APTS,Preferred Apartment Communities Inc - Class A,2021-02-22,2020-12-31,3.82,USD
APTV,Aptiv PLC,2021-02-03,2020-12-31,0.98,USD
APTX,Aptinyx Inc,2021-03-29,2020-12-31,-0.24,USD
APYX,Apyx Medical Corp,2021-03-15,2020-12-31,-0.11,USD
AQST,Aquestive Therapeutics Inc,2021-03-09,2020-12-31,-0.26,USD
AQUA,Evoqua Water Technologies Corp,2021-02-02,2020-12-31,0.03,USD
AR,Antero Resources Corp,2021-02-10,2020-12-31,0.07,USD
ARA,American Renal Associates Holdings Inc,2021-03-15,2020-12-31,0.08,USD
ARAV,Aravive Inc,2021-03-25,2020-12-31,-0.52,USD
ARAY,Accuray Inc,2021-01-27,2020-12-31,-0.02,USD
ARCB,ArcBest Corp,2021-02-02,2020-12-31,0.9,USD
ARCC,Ares Capital Corp,2021-02-10,2020-12-31,0.4,USD
ARCO,Arcos Dorados Holdings,2021-03-16,2020-12-31,-0.05,USD
ARD,Ardagh Group S.A. - Class A,2021-02-18,2020-12-31,0.27,USD
ARD,Ardagh Group S.A. - Class A,2021-04-21,2021-03-31,,USD
ARE,Alexandria Real Estate Equities Inc,2021-02-01,2020-12-31,0.65,USD
ARES,Ares Management Corp Class A,2021-02-11,2020-12-31,0.45,USD
ARGO,Argo Group International Holdings Ltd,2021-02-17,2020-12-31,0.39,USD
ARI,Apollo Commercial Real Estate Finance Inc,2021-02-11,2020-12-31,0.3,USD
ARLO,Arlo Technologies Inc,2021-02-22,2020-12-31,-0.18,USD
ARLP,Alliance Resource Partners LP,2021-01-25,2020-12-31,0.08,USD
ARMK,Aramark,2021-02-02,2020-12-31,-0.4,USD
ARMP,Armata Pharmaceuticals Inc,2021-03-17,2020-12-31,-0.27,USD
ARNA,Arena Pharmaceuticals Inc,2021-02-24,2020-12-31,-1.84,USD
AROC,Archrock Inc,2021-02-17,2020-12-31,0.08,USD
AROW,Arrow Financial Corp,2021-01-26,2020-12-31,0.75,USD
AROW,Arrow Financial Corp,2021-04-22,2021-03-31,,USD
ARR,ARMOUR Residential REIT Inc,2021-02-17,2020-12-31,0.34,USD
ARTNA,Artesian Resources Corp Class A,2021-03-09,2020-12-31,,USD
ARTW,Art`s-way Manufacturing Co. Inc,2021-02-02,2020-11-30,,USD
ARTW,Art`s-way Manufacturing Co. Inc,2021-04-12,2021-02-28,,USD
